bowler,balls,runs_conceded,wickets,dot_balls,fours_conceded,sixes_conceded,format,overs,economy,bowling_average,bowling_strike_rate,dot_ball_percent,boundary_runs_conceded,boundary_percent_conceded,balls_per_boundary
S Koppolu,181,276,6,55,21,12,T20I,30.2,9.14,46.0,30.17,30.39,156,56.52,5.48
Marcelle Hanekom,141,181,6,39,12,6,T20I,23.5,7.7,30.17,23.5,27.66,84,46.41,7.83
Hassan Mehmood,78,101,6,31,8,4,T20I,13.0,7.77,16.83,13.0,39.74,56,55.45,6.5
Sohel Patel,94,89,6,44,1,5,T20I,15.7,5.67,14.83,15.67,46.81,34,38.2,15.67
Aditya Panwar,86,122,6,35,8,8,T20I,14.3,8.53,20.33,14.33,40.7,80,65.57,5.38
JK Vifah,112,115,6,43,8,2,T20I,18.7,6.15,19.17,18.67,38.39,44,38.26,11.2
I Elec,117,127,6,49,7,4,T20I,19.5,6.51,21.17,19.5,41.88,52,40.94,10.64
MD Gunathilaka,128,157,6,39,9,5,T20I,21.3,7.37,26.17,21.33,30.47,66,42.04,9.14
Alam Nakash,131,147,6,51,13,3,T20I,21.8,6.74,24.5,21.83,38.93,70,47.62,8.19
AAP Atkinson,67,123,6,22,11,7,T20I,11.2,10.98,20.5,11.17,32.84,86,69.92,3.72
Sabbir Rahman,69,78,6,25,7,2,T20I,11.5,6.78,13.0,11.5,36.23,40,51.28,7.67
Muhammad Tanveer,219,305,6,63,17,13,T20I,36.5,8.36,50.83,36.5,28.77,146,47.87,7.3
ED Silva,102,125,6,39,6,8,T20I,17.0,7.35,20.83,17.0,38.24,72,57.6,7.29
Ibrahim Nashath,115,120,6,43,9,3,T20I,19.2,6.25,20.0,19.17,37.39,54,45.0,9.58
Imran Ahmed Kaneez,134,133,6,65,12,2,T20I,22.3,5.96,22.17,22.33,48.51,60,45.11,9.57
S Pillai,244,238,6,117,21,2,T20I,40.7,5.85,39.67,40.67,47.95,96,40.34,10.61
A Kessar,65,60,6,39,8,2,T20I,10.8,5.56,10.0,10.83,60.0,44,73.33,6.5
P Kumar,141,189,6,47,21,2,T20I,23.5,8.04,31.5,23.5,33.33,96,50.79,6.13
Sulaiman Ali,124,185,6,41,17,7,T20I,20.7,8.94,30.83,20.67,33.06,110,59.46,5.17
Nitesh Hooda,62,45,6,37,3,1,T20I,10.3,4.37,7.5,10.33,59.68,18,40.0,15.5
S Sharma,130,113,6,63,5,2,T20I,21.7,5.21,18.83,21.67,48.46,32,28.32,18.57
V Dhaniram,133,93,6,75,5,1,T20I,22.2,4.19,15.5,22.17,56.39,26,27.96,22.17
O Lutbayar,208,355,6,43,27,15,T20I,34.7,10.23,59.17,34.67,20.67,198,55.77,4.95
Muhammad Shoaib Ahmed,115,109,6,48,7,1,T20I,19.2,5.68,18.17,19.17,41.74,34,31.19,14.38
HL Harji,156,194,6,60,23,3,T20I,26.0,7.46,32.33,26.0,38.46,110,56.7,6.0
L Sanogo,112,136,6,41,10,3,T20I,18.7,7.27,22.67,18.67,36.61,58,42.65,8.62
Nawed Al Balushi,64,106,6,14,6,7,T20I,10.7,9.91,17.67,10.67,21.88,66,62.26,4.92
Gaurav Mishra,216,244,6,83,24,3,T20I,36.0,6.78,40.67,36.0,38.43,114,46.72,8.0
IE O'Brien,78,119,6,28,15,4,T20I,13.0,9.15,19.83,13.0,35.9,84,70.59,4.11
Mirza Ahmed,99,119,6,49,8,8,T20I,16.5,7.21,19.83,16.5,49.49,80,67.23,6.19
KN Chaddha,87,107,6,34,4,7,T20I,14.5,7.38,17.83,14.5,39.08,58,54.21,7.91
J Cutinho,50,60,6,23,6,2,T20I,8.3,7.23,10.0,8.33,46.0,36,60.0,6.25
W Smith,86,124,6,28,10,5,T20I,14.3,8.67,20.67,14.33,32.56,70,56.45,5.73
MK Hollard,52,54,6,20,4,1,T20I,8.7,6.21,9.0,8.67,38.46,22,40.74,10.4
J Buchanan,155,162,6,55,6,5,T20I,25.8,6.28,27.0,25.83,35.48,54,33.33,14.09
MW Jones,64,79,6,24,9,2,T20I,10.7,7.38,13.17,10.67,37.5,48,60.76,5.82
WPUJC Vaas,133,134,6,61,9,3,T20I,22.2,6.04,22.33,22.17,45.86,54,40.3,11.08
S Rukmal,250,284,6,111,31,7,T20I,41.7,6.81,47.33,41.67,44.4,166,58.45,6.58
AJ Prajapati,119,125,6,47,8,2,T20I,19.8,6.31,20.83,19.83,39.5,44,35.2,11.9
DK Dahyabhai Ahir,138,129,6,73,7,6,T20I,23.0,5.61,21.5,23.0,52.9,64,49.61,10.62
PRP Boissevain,140,198,6,51,14,11,T20I,23.3,8.5,33.0,23.33,36.43,122,61.62,5.6
TS Braat,89,136,6,31,9,9,T20I,14.8,9.19,22.67,14.83,34.83,90,66.18,4.94
Elan Talker,124,153,6,57,22,3,T20I,20.7,7.39,25.5,20.67,45.97,106,69.28,4.96
Niv Nagavkar,170,194,6,74,18,5,T20I,28.3,6.86,32.33,28.33,43.53,102,52.58,7.39
Salman Sharjeel,86,137,6,26,12,6,T20I,14.3,9.58,22.83,14.33,30.23,84,61.31,4.78
Shafat Ali Syed,96,113,6,36,11,1,T20I,16.0,7.06,18.83,16.0,37.5,50,44.25,8.0
AV Lalcheta,229,263,6,108,29,7,T20I,38.2,6.88,43.83,38.17,47.16,158,60.08,6.36
A Parima,110,122,6,44,7,4,T20I,18.3,6.67,20.33,18.33,40.0,52,42.62,10.0
JL Martel,68,61,6,28,5,0,T20I,11.3,5.4,10.17,11.33,41.18,20,32.79,13.6
C Sridev,83,110,6,24,9,3,T20I,13.8,7.97,18.33,13.83,28.92,54,49.09,6.92
JD Nel,88,85,6,45,5,3,T20I,14.7,5.78,14.17,14.67,51.14,38,44.71,11.0
Rashid Khan,122,202,6,42,13,14,T20I,20.3,9.95,33.67,20.33,34.43,136,67.33,4.52
Abubacarr Kuyateh,165,211,6,67,22,6,T20I,27.5,7.67,35.17,27.5,40.61,124,58.77,5.89
AN Toube,145,184,6,56,14,6,T20I,24.2,7.6,30.67,24.17,38.62,92,50.0,7.25
M Jobarteh,176,250,6,66,22,10,T20I,29.3,8.53,41.67,29.33,37.5,148,59.2,5.5
T Thushara,122,162,6,40,19,3,T20I,20.3,7.98,27.0,20.33,32.79,94,58.02,5.55
PC Connell,75,75,6,37,10,0,T20I,12.5,6.0,12.5,12.5,49.33,40,53.33,7.5
Vichanath Singh,217,205,6,93,9,8,T20I,36.2,5.66,34.17,36.17,42.86,84,40.98,12.76
Anasim Khan,111,145,6,38,13,5,T20I,18.5,7.84,24.17,18.5,34.23,82,56.55,6.17
Vikramjit Singh,102,169,6,23,10,9,T20I,17.0,9.94,28.17,17.0,22.55,94,55.62,5.37
BJ Bennett,145,193,6,55,19,8,T20I,24.2,7.98,32.17,24.17,37.93,124,64.25,5.37
J Blades,131,181,6,53,18,8,T20I,21.8,8.3,30.17,21.83,40.46,120,66.3,5.04
Hamid Safi,61,92,6,26,5,7,T20I,10.2,9.02,15.33,10.17,42.62,62,67.39,5.08
GRD Munasinghe,100,112,6,41,9,2,T20I,16.7,6.71,18.67,16.67,41.0,48,42.86,9.09
A Mansale,92,114,6,31,7,4,T20I,15.3,7.45,19.0,15.33,33.7,52,45.61,8.36
JD Bhatt,62,96,6,22,10,5,T20I,10.3,9.32,16.0,10.33,35.48,70,72.92,4.13
SNJ O'Keefe,116,151,6,38,12,5,T20I,19.3,7.82,25.17,19.33,32.76,78,51.66,6.82
M Ansari,144,203,6,51,23,5,T20I,24.0,8.46,33.83,24.0,35.42,122,60.1,5.14
SP Gauchan,139,127,6,75,6,7,T20I,23.2,5.47,21.17,23.17,53.96,66,51.97,10.69
MM Sharma,139,190,6,55,23,5,T20I,23.2,8.19,31.67,23.17,39.57,122,64.21,4.96
Agha Salman,117,150,6,37,10,6,T20I,19.5,7.69,25.0,19.5,31.62,76,50.67,7.31
Yusuf Ebrahim,134,203,6,45,16,9,T20I,22.3,9.1,33.83,22.33,33.58,118,58.13,5.36
JM Muirhead,93,111,6,30,2,6,T20I,15.5,7.16,18.5,15.5,32.26,44,39.64,11.62
BB Sran,53,46,6,28,5,1,T20I,8.8,5.23,7.67,8.83,52.83,26,56.52,8.83
J Albin,186,305,6,46,25,12,T20I,31.0,9.84,50.83,31.0,24.73,172,56.39,5.03
P Taylor,85,115,6,23,7,4,T20I,14.2,8.1,19.17,14.17,27.06,52,45.22,7.73
Amir Hayat,86,106,6,36,9,3,T20I,14.3,7.41,17.67,14.33,41.86,54,50.94,7.17
M Ntini,198,302,6,73,37,11,T20I,33.0,9.15,50.33,33.0,36.87,214,70.86,4.12
TL Best,127,167,6,45,13,7,T20I,21.2,7.88,27.83,21.17,35.43,94,56.29,6.35
Ayan Khan,290,389,6,96,22,21,T20I,48.3,8.05,64.83,48.33,33.1,214,55.01,6.74
S Simpson,51,47,6,25,6,0,T20I,8.5,5.53,7.83,8.5,49.02,24,51.06,8.5
Adil Khan,96,122,6,35,12,3,T20I,16.0,7.62,20.33,16.0,36.46,66,54.1,6.4
J Stanigze,106,127,6,34,8,4,T20I,17.7,7.18,21.17,17.67,32.08,56,44.09,8.83
AAhan Achar,156,155,6,58,12,2,T20I,26.0,5.96,25.83,26.0,37.18,60,38.71,11.14
Avi Dixit,85,84,5,36,9,0,T20I,14.2,5.92,16.8,17.0,42.35,36,42.86,9.44
AM Guruge,97,126,5,43,20,1,T20I,16.2,7.78,25.2,19.4,44.33,86,68.25,4.62
Luka Woods,143,173,5,46,10,6,T20I,23.8,7.27,34.6,28.6,32.17,76,43.93,8.94
Naved-ul-Hasan,69,73,5,25,4,1,T20I,11.5,6.35,14.6,13.8,36.23,22,30.14,13.8
P Cabebula,110,116,5,46,10,2,T20I,18.3,6.34,23.2,22.0,41.82,52,44.83,9.17
J Batinibulu,95,124,5,31,8,6,T20I,15.8,7.85,24.8,19.0,32.63,68,54.84,6.79
TS Waqavakatoga,138,168,5,54,12,6,T20I,23.0,7.3,33.6,27.6,39.13,84,50.0,7.67
T Vanuarua,126,118,5,58,12,0,T20I,21.0,5.62,23.6,25.2,46.03,48,40.68,10.5
Zahid Ali,112,154,5,36,13,5,T20I,18.7,8.24,30.8,22.4,32.14,82,53.25,6.22
I Asif,73,90,5,18,5,1,T20I,12.2,7.38,18.0,14.6,24.66,26,28.89,12.17
Rahat Ali,120,138,5,54,15,2,T20I,20.0,6.9,27.6,24.0,45.0,72,52.17,7.06
T Muzarabani,136,218,5,45,29,5,T20I,22.7,9.6,43.6,27.2,33.09,146,66.97,4.0
RR Joshi,140,184,5,51,18,7,T20I,23.3,7.9,36.8,28.0,36.43,114,61.96,5.6
V Khanduri,77,100,5,25,5,5,T20I,12.8,7.81,20.0,15.4,32.47,50,50.0,7.7
J Hurley,97,115,5,44,8,6,T20I,16.2,7.1,23.0,19.4,45.36,68,59.13,6.93
AB Mengoumou,85,97,5,40,8,4,T20I,14.2,6.83,19.4,17.0,47.06,56,57.73,7.08
L Lamin,95,124,5,30,11,3,T20I,15.8,7.85,24.8,19.0,31.58,62,50.0,6.79
M Gouws,167,243,5,58,16,13,T20I,27.8,8.74,48.6,33.4,34.73,142,58.44,5.76
Muhammad Nadeem,89,107,5,31,6,4,T20I,14.8,7.23,21.4,17.8,34.83,48,44.86,8.9
H Rashid,135,178,5,57,11,10,T20I,22.5,7.91,35.6,27.0,42.22,104,58.43,6.43
Nazwan Ismail,112,189,5,27,18,7,T20I,18.7,10.11,37.8,22.4,24.11,114,60.32,4.48
Mohamed Ishmath,164,191,5,63,17,5,T20I,27.3,7.0,38.2,32.8,38.41,98,51.31,7.45
S Muthusamy,109,128,5,44,4,9,T20I,18.2,7.03,25.6,21.8,40.37,70,54.69,8.38
P Sharma,124,131,5,54,9,4,T20I,20.7,6.33,26.2,24.8,43.55,60,45.8,9.54
Abdul Majid,128,120,5,56,10,2,T20I,21.3,5.63,24.0,25.6,43.75,52,43.33,10.67
M Fru,87,138,5,26,12,5,T20I,14.5,9.52,27.6,17.4,29.89,78,56.52,5.12
I Kamara,91,79,5,43,4,1,T20I,15.2,5.2,15.8,18.2,47.25,22,27.85,18.2
Arjun Vinod,205,299,5,67,16,18,T20I,34.2,8.74,59.8,41.0,32.68,172,57.53,6.03
Ahsan Khan,141,235,5,48,16,15,T20I,23.5,10.0,47.0,28.2,34.04,154,65.53,4.55
Santiago Duggan,130,102,5,66,7,2,T20I,21.7,4.7,20.4,26.0,50.77,40,39.22,14.44
V Nagpaul,104,106,5,42,6,4,T20I,17.3,6.13,21.2,20.8,40.38,48,45.28,10.4
WT Gavera,91,109,5,37,11,1,T20I,15.2,7.17,21.8,18.2,40.66,50,45.87,7.58
R Frylinck,61,63,5,26,9,0,T20I,10.2,6.18,12.6,12.2,42.62,36,57.14,6.78
Imran Haider,151,205,5,47,14,8,T20I,25.2,8.13,41.0,30.2,31.13,104,50.73,6.86
Amoluk Singh,131,136,5,62,17,2,T20I,21.8,6.24,27.2,26.2,47.33,80,58.82,6.89
MK Anafie,93,107,5,45,8,6,T20I,15.5,6.9,21.4,18.6,48.39,68,63.55,6.64
Muhammad Saqib,104,158,5,35,13,9,T20I,17.3,9.13,31.6,20.8,33.65,106,67.09,4.73
DB Lakhani,47,56,5,18,4,2,T20I,7.8,7.18,11.2,9.4,38.3,28,50.0,7.83
J Yon,76,84,5,34,4,3,T20I,12.7,6.61,16.8,15.2,44.74,34,40.48,10.86
J Thomas,107,138,5,43,13,3,T20I,17.8,7.75,27.6,21.4,40.19,70,50.72,6.69
M Badenhorst,71,104,5,18,8,3,T20I,11.8,8.81,20.8,14.2,25.35,50,48.08,6.45
Omid Shafi Rahman,88,89,5,42,7,3,T20I,14.7,6.05,17.8,17.6,47.73,46,51.69,8.8
M Levitt,97,146,5,28,12,7,T20I,16.2,9.01,29.2,19.4,28.87,90,61.64,5.11
SA Engelbrecht,49,71,5,11,5,3,T20I,8.2,8.66,14.2,9.8,22.45,38,53.52,6.12
TA Dudnath,95,88,5,41,6,0,T20I,15.8,5.57,17.6,19.0,43.16,24,27.27,15.83
B Lewis,79,75,5,42,4,3,T20I,13.2,5.68,15.0,15.8,53.16,34,45.33,11.29
Dilum Fernando,56,63,5,24,4,3,T20I,9.3,6.77,12.6,11.2,42.86,34,53.97,8.0
Abdul Waheed,137,161,5,50,10,7,T20I,22.8,7.06,32.2,27.4,36.5,82,50.93,8.06
H Khuttan,110,118,5,39,5,4,T20I,18.3,6.45,23.6,22.0,35.45,44,37.29,12.22
KA Bazil,144,211,5,46,18,6,T20I,24.0,8.79,42.2,28.8,31.94,108,51.18,6.0
P Nedeljkovic,146,155,5,58,16,2,T20I,24.3,6.38,31.0,29.2,39.73,76,49.03,8.11
Anique Uddin,80,101,5,34,8,4,T20I,13.3,7.59,20.2,16.0,42.5,56,55.45,6.67
Karan Singh,190,220,5,81,15,10,T20I,31.7,6.94,44.0,38.0,42.63,120,54.55,7.6
Zada Sher,144,185,5,45,15,6,T20I,24.0,7.71,37.0,28.8,31.25,96,51.89,6.86
J Moondra,50,63,5,19,4,3,T20I,8.3,7.59,12.6,10.0,38.0,34,53.97,7.14
I Stewart,107,173,5,31,13,9,T20I,17.8,9.72,34.6,21.4,28.97,106,61.27,4.86
Ahmed Aqeel,165,179,5,58,10,6,T20I,27.5,6.51,35.8,33.0,35.15,76,42.46,10.31
W Wotu,119,144,5,35,12,3,T20I,19.8,7.27,28.8,23.8,29.41,66,45.83,7.93
Rizwan Cheema,145,191,5,43,16,4,T20I,24.2,7.89,38.2,29.0,29.66,88,46.07,7.25
PHKD Mendis,178,238,5,54,19,8,T20I,29.7,8.01,47.6,35.6,30.34,124,52.1,6.59
Sameer Othman,104,176,5,31,12,12,T20I,17.3,10.17,35.2,20.8,29.81,120,68.18,4.33
Zaman Khan,136,177,5,42,16,5,T20I,22.7,7.8,35.4,27.2,30.88,94,53.11,6.48
RJ Nicol,129,169,5,41,10,9,T20I,21.5,7.86,33.8,25.8,31.78,94,55.62,6.79
SR Patel,236,319,5,77,15,19,T20I,39.3,8.12,63.8,47.2,32.63,174,54.55,6.94
WT Mubayiwa,114,92,5,58,7,0,T20I,19.0,4.84,18.4,22.8,50.88,28,30.43,16.29
TZ Chataira,48,57,5,23,7,1,T20I,8.0,7.12,11.4,9.6,47.92,34,59.65,6.0
R Sandeep,183,163,5,93,16,1,T20I,30.5,5.34,32.6,36.6,50.82,70,42.94,10.76
KY Wilfried,156,259,5,35,21,9,T20I,26.0,9.96,51.8,31.2,22.44,138,53.28,5.2
B Leo,94,132,5,35,13,4,T20I,15.7,8.41,26.4,18.8,37.23,76,57.58,5.53
Sohail Khan,88,122,5,25,8,5,T20I,14.7,8.3,24.4,17.6,28.41,62,50.82,6.77
Madhawa Basnayaka,74,99,5,24,6,3,T20I,12.3,8.05,19.8,14.8,32.43,42,42.42,8.22
Shakeel Zeb,69,81,5,27,6,3,T20I,11.5,7.04,16.2,13.8,39.13,42,51.85,7.67
Asad Rasheed,80,128,5,20,8,6,T20I,13.3,9.62,25.6,16.0,25.0,68,53.12,5.71
BK Majji,48,32,5,30,1,2,T20I,8.0,4.0,6.4,9.6,62.5,16,50.0,16.0
Thilina Silva,85,78,5,37,3,3,T20I,14.2,5.49,15.6,17.0,43.53,30,38.46,14.17
Inshaf Farook,111,93,5,46,4,0,T20I,18.5,5.03,18.6,22.2,41.44,16,17.2,27.75
CAJ Meschede,100,85,5,50,9,0,T20I,16.7,5.09,17.0,20.0,50.0,36,42.35,11.11
S Murari,123,123,5,59,9,4,T20I,20.5,6.0,24.6,24.6,47.97,60,48.78,9.46
T Nightingale,182,209,5,64,17,5,T20I,30.3,6.9,41.8,36.4,35.16,98,46.89,8.27
CT Mutombodzi,140,171,5,49,8,9,T20I,23.3,7.34,34.2,28.0,35.0,86,50.29,8.24
Faridullah Shams,68,99,5,26,12,4,T20I,11.3,8.76,19.8,13.6,38.24,72,72.73,4.25
L Horan,53,24,5,34,1,0,T20I,8.8,2.73,4.8,10.6,64.15,4,16.67,53.0
R Drake,179,279,5,59,21,14,T20I,29.8,9.36,55.8,35.8,32.96,168,60.22,5.11
KC Ramamoorthy,88,106,5,36,8,3,T20I,14.7,7.21,21.2,17.6,40.91,50,47.17,8.0
SS Pathirana,98,119,5,34,7,4,T20I,16.3,7.3,23.8,19.6,34.69,52,43.7,8.91
Usman Arif,68,94,5,24,8,4,T20I,11.3,8.32,18.8,13.6,35.29,56,59.57,5.67
U Shahid,80,77,5,37,8,0,T20I,13.3,5.79,15.4,16.0,46.25,32,41.56,10.0
Farhad Reza,156,262,5,29,18,12,T20I,26.0,10.08,52.4,31.2,18.59,144,54.96,5.2
Awais Ikram,87,134,5,26,11,5,T20I,14.5,9.24,26.8,17.4,29.89,74,55.22,5.44
Aziz Sualley,101,106,5,48,8,2,T20I,16.8,6.31,21.2,20.2,47.52,44,41.51,10.1
Bukhar Illikkal,171,197,5,58,7,10,T20I,28.5,6.91,39.4,34.2,33.92,88,44.67,10.06
D Mullen,127,154,5,47,13,5,T20I,21.2,7.26,30.8,25.4,37.01,82,53.25,7.06
Zulqarnain Haider,98,85,5,53,6,3,T20I,16.3,5.21,17.0,19.6,54.08,42,49.41,10.89
N Advani,63,74,5,22,5,3,T20I,10.5,7.05,14.8,12.6,34.92,38,51.35,7.88
DV Devjani Mutreja,93,96,5,42,9,2,T20I,15.5,6.19,19.2,18.6,45.16,48,50.0,8.45
Z Shurentsetseg,146,233,5,25,19,6,T20I,24.3,9.59,46.6,29.2,17.12,112,48.07,5.84
P Manning,108,130,5,38,7,6,T20I,18.0,7.22,26.0,21.6,35.19,64,49.23,8.31
G Irvin,71,56,5,36,2,1,T20I,11.8,4.75,11.2,14.2,50.7,14,25.0,23.67
Usama Mir,123,175,5,41,13,8,T20I,20.5,8.54,35.0,24.6,33.33,100,57.14,5.86
A Maheshwari,119,193,5,35,11,14,T20I,19.8,9.75,38.6,23.8,29.41,128,66.32,4.76
KAB Hynam-Nyberg,125,170,5,33,18,1,T20I,20.8,8.17,34.0,25.0,26.4,78,45.88,6.58
S Gasteratos,62,55,5,30,6,0,T20I,10.3,5.34,11.0,12.4,48.39,24,43.64,10.33
O Davidson,110,134,5,34,3,7,T20I,18.3,7.32,26.8,22.0,30.91,54,40.3,11.0
Baljit Singh,124,118,5,54,5,4,T20I,20.7,5.7,23.6,24.8,43.55,44,37.29,13.78
Izatullah Dawlatzai,150,155,5,64,15,2,T20I,25.0,6.2,31.0,30.0,42.67,72,46.45,8.82
Ibrahim Jabarkhel,102,103,5,43,3,5,T20I,17.0,6.06,20.6,20.4,42.16,42,40.78,12.75
Yash Singh,111,143,5,34,12,4,T20I,18.5,7.73,28.6,22.2,30.63,72,50.35,6.94
Chen Zhuo Yue,140,219,5,47,21,10,T20I,23.3,9.4,43.8,28.0,33.57,144,65.75,4.52
M Musinguzi,79,85,5,32,3,2,T20I,13.2,6.44,17.0,15.8,40.51,24,28.24,15.8
Ethan D'Souza,48,53,5,19,3,2,T20I,8.0,6.62,10.6,9.6,39.58,24,45.28,9.6
Abu Hider,182,290,5,61,27,16,T20I,30.3,9.57,58.0,36.4,33.52,204,70.34,4.23
TG Thamae,155,226,5,54,20,10,T20I,25.8,8.76,45.2,31.0,34.84,140,61.95,5.17
P Pustoslemsek,80,95,5,29,4,5,T20I,13.3,7.14,19.0,16.0,36.25,46,48.42,8.89
V Shankar,135,191,5,39,14,7,T20I,22.5,8.49,38.2,27.0,28.89,98,51.31,6.43
RV Nascimento,144,153,5,57,14,2,T20I,24.0,6.38,30.6,28.8,39.58,68,44.44,9.0
Aslam Mohammad,143,155,5,64,15,3,T20I,23.8,6.51,31.0,28.6,44.76,78,50.32,7.94
AS Mehmi,139,172,5,49,12,7,T20I,23.2,7.41,34.4,27.8,35.25,90,52.33,7.32
DR Briggs,113,201,5,29,21,9,T20I,18.8,10.69,40.2,22.6,25.66,138,68.66,3.77
GD McGrath,49,79,5,15,9,2,T20I,8.2,9.63,15.8,9.8,30.61,48,60.76,4.45
MS Kasprowicz,43,57,5,12,5,1,T20I,7.2,7.92,11.4,8.6,27.91,26,45.61,7.17
VR Iyer,56,75,5,19,6,3,T20I,9.3,8.06,15.0,11.2,33.93,42,56.0,6.22
DJ Hooda,90,73,5,37,3,1,T20I,15.0,4.87,14.6,18.0,41.11,18,24.66,22.5
A Flintoff,155,164,5,64,15,2,T20I,25.8,6.36,32.8,31.0,41.29,72,43.9,9.12
A Desai,73,85,5,21,5,2,T20I,12.2,6.97,17.0,14.6,28.77,32,37.65,10.43
SK Springer,90,133,5,24,14,3,T20I,15.0,8.87,26.6,18.0,26.67,74,55.64,5.29
RJ Hatchman,227,435,5,50,31,24,T20I,37.8,11.51,87.0,45.4,22.03,268,61.61,4.13
J Perman,124,141,5,47,6,6,T20I,20.7,6.81,28.2,24.8,37.9,60,42.55,10.33
DAS Gunaratne,152,206,5,35,10,9,T20I,25.3,8.14,41.2,30.4,23.03,94,45.63,8.0
F Hand,153,236,5,49,17,12,T20I,25.5,9.25,47.2,30.6,32.03,140,59.32,5.28
TH David,169,257,5,50,21,10,T20I,28.2,9.11,51.4,33.8,29.59,144,56.03,5.45
MF Maharoof,145,181,5,52,15,4,T20I,24.2,7.48,36.2,29.0,35.86,84,46.41,7.63
CA Keita,52,62,5,18,4,1,T20I,8.7,7.13,12.4,10.4,34.62,22,35.48,10.4
TC Vine,106,143,5,37,11,5,T20I,17.7,8.08,28.6,21.2,34.91,74,51.75,6.62
Fazil Muhammad,87,103,5,28,7,1,T20I,14.5,7.1,20.6,17.4,32.18,34,33.01,10.88
Atif Rasheed,54,64,5,31,3,5,T20I,9.0,7.11,12.8,10.8,57.41,42,65.62,6.75
Fawad Alam,72,88,5,27,3,4,T20I,12.0,7.33,17.6,14.4,37.5,36,40.91,10.29
FN Walsh,50,86,5,18,8,5,T20I,8.3,10.36,17.2,10.0,36.0,62,72.09,3.85
Aung Ko Ko,72,74,5,29,3,3,T20I,12.0,6.17,14.8,14.4,40.28,30,40.54,12.0
N Davidovic,90,169,5,25,9,14,T20I,15.0,11.27,33.8,18.0,27.78,120,71.01,3.91
Ayyaz Qureshi,82,114,5,29,12,3,T20I,13.7,8.32,22.8,16.4,35.37,66,57.89,5.47
A Beresford-Peirse,202,261,5,73,23,8,T20I,33.7,7.74,52.2,40.4,36.14,140,53.64,6.52
Zahid Zadran,136,174,5,60,22,4,T20I,22.7,7.67,34.8,27.2,44.12,112,64.37,5.23
Wasim Ali,142,162,4,47,13,3,T20I,23.7,6.84,40.5,35.5,33.1,70,43.21,8.88
K Gilham,76,87,4,35,9,2,T20I,12.7,6.85,21.75,19.0,46.05,48,55.17,6.91
Z Hoque,126,127,4,63,11,4,T20I,21.0,6.05,31.75,31.5,50.0,68,53.54,8.4
Taher Muhammad,154,259,4,34,12,17,T20I,25.7,10.08,64.75,38.5,22.08,150,57.92,5.31
Syed Rasel,178,207,4,84,22,5,T20I,29.7,6.97,51.75,44.5,47.19,118,57.0,6.59
CM Wright,31,49,4,10,5,2,T20I,5.2,9.42,12.25,7.75,32.26,32,65.31,4.43
RML Taylor,116,160,4,40,11,6,T20I,19.3,8.29,40.0,29.0,34.48,80,50.0,6.82
Bilawal Bhatti,149,233,4,35,27,4,T20I,24.8,9.4,58.25,37.25,23.49,132,56.65,4.81
TB Sole,104,111,4,35,6,3,T20I,17.3,6.42,27.75,26.0,33.65,42,37.84,11.56
IGTP Wiguna,100,130,4,44,13,6,T20I,16.7,7.78,32.5,25.0,44.0,88,67.69,5.26
A Gulati,89,138,4,22,6,9,T20I,14.8,9.32,34.5,22.25,24.72,78,56.52,5.93
Qudratullah Mir Afzail,101,100,4,47,10,1,T20I,16.8,5.95,25.0,25.25,46.53,46,46.0,9.18
C Outerbridge,57,51,4,26,4,1,T20I,9.5,5.37,12.75,14.25,45.61,22,43.14,11.4
NR Kirton,54,97,4,16,10,5,T20I,9.0,10.78,24.25,13.5,29.63,70,72.16,3.6
M Prasanna,83,131,4,21,10,6,T20I,13.8,9.49,32.75,20.75,25.3,76,58.02,5.19
V Ravindran,72,111,4,27,7,8,T20I,12.0,9.25,27.75,18.0,37.5,76,68.47,4.8
Khalander Mustafa,47,55,4,23,5,3,T20I,7.8,7.05,13.75,11.75,48.94,38,69.09,5.88
N M'shangwe,102,142,4,29,12,6,T20I,17.0,8.35,35.5,25.5,28.43,84,59.15,5.67
Sohag Gazi,215,303,4,73,30,11,T20I,35.8,8.46,75.75,53.75,33.95,186,61.39,5.24
Sareer Shah,142,207,4,49,23,5,T20I,23.7,8.73,51.75,35.5,34.51,122,58.94,5.07
DF Jacobs,30,26,4,16,2,1,T20I,5.0,5.2,6.5,7.5,53.33,14,53.85,10.0
Tanvir Islam,103,140,4,40,10,8,T20I,17.2,8.14,35.0,25.75,38.83,88,62.86,5.72
VN Veetil,125,166,4,34,10,7,T20I,20.8,7.98,41.5,31.25,27.2,82,49.4,7.35
Kashif Khan,73,75,4,37,8,2,T20I,12.2,6.15,18.75,18.25,50.68,44,58.67,7.3
Bashar Khan,77,52,4,45,2,1,T20I,12.8,4.06,13.0,19.25,58.44,14,26.92,25.67
B Jerkovic,57,100,4,11,6,6,T20I,9.5,10.53,25.0,14.25,19.3,60,60.0,4.75
SD Valjalo,93,134,4,37,17,2,T20I,15.5,8.65,33.5,23.25,39.78,80,59.7,4.89
Murat Yilmaz,81,108,4,23,10,3,T20I,13.5,8.0,27.0,20.25,28.4,58,53.7,6.23
GA Lamb,75,80,4,32,2,5,T20I,12.5,6.4,20.0,18.75,42.67,38,47.5,10.71
S Nadigotla,66,71,4,28,3,3,T20I,11.0,6.45,17.75,16.5,42.42,30,42.25,11.0
A Busing-Volschenk,43,55,4,16,5,2,T20I,7.2,7.64,13.75,10.75,37.21,32,58.18,6.14
