player,runs,balls,fours,sixes,outs,format,average,strike_rate,boundary_runs,boundary_percent,balls_per_boundary
Ankit Sharma,87,69,7,4,7,IPL,12.43,126.09,52,59.77,6.27
AP Majumdar,87,77,7,2,4,IPL,21.75,112.99,40,45.98,8.56
MJ McClenaghan,85,73,5,7,11,IPL,7.73,116.44,62,72.94,6.08
RE Levi,83,74,10,4,6,IPL,13.83,112.16,64,77.11,5.29
NM Coulter-Nile,82,75,7,4,10,IPL,8.2,109.33,52,63.41,6.82
CJ Jordan,81,81,3,3,9,IPL,9.0,100.0,30,37.04,13.5
Shahid Afridi,81,46,7,6,8,IPL,10.12,176.09,64,79.01,3.54
PWH de Silva,81,95,7,1,15,IPL,5.4,85.26,34,41.98,11.88
LA Carseldine,81,71,11,0,3,IPL,27.0,114.08,44,54.32,6.45
WPUJC Vaas,81,73,2,3,7,IPL,11.57,110.96,26,32.1,14.6
RV Patel,80,76,6,2,4,IPL,20.0,105.26,36,45.0,9.5
AD Mascarenhas,79,79,5,1,9,IPL,8.78,100.0,26,32.91,13.17
CR Woakes,78,77,7,2,5,IPL,15.6,101.3,40,51.28,8.56
AS Roy,78,66,6,2,8,IPL,9.75,118.18,36,46.15,8.25
JR Philippe,78,80,9,1,4,IPL,19.5,97.5,42,53.85,8.0
KA Jamieson,77,74,6,4,4,IPL,19.25,104.05,48,62.34,7.4
IR Jaggi,76,100,6,0,5,IPL,15.2,76.0,24,31.58,16.67
B Akhil,76,57,5,5,5,IPL,15.2,133.33,50,65.79,5.7
TR Birt,75,59,9,2,5,IPL,15.0,127.12,48,64.0,5.36
JJ Bumrah,75,89,6,1,7,IPL,10.71,84.27,30,40.0,12.71
A Kamboj,74,55,5,4,3,IPL,24.67,134.55,44,59.46,6.11
RR Sarwan,73,78,6,1,3,IPL,24.33,93.59,30,41.1,11.14
M Klinger,73,78,9,0,4,IPL,18.25,93.59,36,49.32,8.67
LH Ferguson,72,49,7,2,3,IPL,24.0,146.94,40,55.56,5.44
Vishnu Vinod,71,66,4,4,6,IPL,11.83,107.58,40,56.34,8.25
SK Rasheed,71,67,9,2,5,IPL,14.2,105.97,48,67.61,6.09
J Suchith,70,62,6,3,4,IPL,17.5,112.9,42,60.0,6.89
Vivrant Sharma,69,49,9,2,1,IPL,69.0,140.82,48,69.57,4.45
AA Bilakhia,69,88,5,0,5,IPL,13.8,78.41,20,28.99,17.6
Avesh Khan,68,46,7,4,3,IPL,22.67,147.83,52,76.47,4.18
RR Powar,67,64,6,1,2,IPL,33.5,104.69,30,44.78,9.14
HR Shokeen,66,67,9,0,3,IPL,22.0,98.51,36,54.55,7.44
R Sharma,66,77,5,3,11,IPL,6.0,85.71,38,57.58,9.62
WD Parnell,65,86,4,1,10,IPL,6.5,75.58,22,33.85,17.2
Mohammad Hafeez,64,84,7,2,7,IPL,9.14,76.19,40,62.5,9.33
Anirudh Singh,63,69,6,1,4,IPL,15.75,91.3,30,47.62,9.86
N Sindhu,63,51,7,2,5,IPL,12.6,123.53,40,63.49,5.67
A Flintoff,62,57,5,2,2,IPL,31.0,108.77,32,51.61,8.14
SP Jackson,61,57,5,1,6,IPL,10.17,107.02,26,42.62,9.5
Sandeep Sharma,60,79,4,0,5,IPL,12.0,75.95,16,26.67,19.75
Harshit Rana,59,57,5,3,6,IPL,9.83,103.51,38,64.41,7.12
S Aravind,59,59,7,0,3,IPL,19.67,100.0,28,47.46,8.43
