player,team,matches,format,runs,balls_x,fours,sixes,outs,average,strike_rate,boundary_runs,boundary_percent,balls_per_boundary_x,balls_y,runs_conceded,wickets,dot_balls,fours_conceded,sixes_conceded,overs,economy,bowling_average,bowling_strike_rate,dot_ball_percent,boundary_runs_conceded,boundary_percent_conceded,balls_per_boundary_y,strengths,weaknesses
DJ Bravo,Chennai Super Kings,160,IPL,1560.0,1247.0,120.0,66.0,68.0,22.94,125.1,876.0,56.15,6.7,3296.0,4436.0,183.0,998.0,349.0,155.0,549.3,8.08,24.24,18.01,30.28,2326.0,52.43,6.54,"Boundary Hitter, Wicket Taking Bowler",No Major Weakness Detected
JJ Bumrah,Mumbai Indians,158,IPL,75.0,89.0,6.0,1.0,7.0,10.71,84.27,30.0,40.0,12.71,3792.0,4582.0,190.0,1458.0,405.0,136.0,632.0,7.25,24.12,19.96,38.45,2436.0,53.16,7.01,Wicket Taking Bowler,No Major Weakness Detected
KH Pandya,Mumbai Indians,158,IPL,1982.0,1539.0,173.0,76.0,83.0,23.88,128.78,1148.0,57.92,6.18,2779.0,3451.0,107.0,845.0,227.0,127.0,463.2,7.45,32.25,25.97,30.41,1670.0,48.39,7.85,"Boundary Hitter, Wicket Taking Bowler",No Major Weakness Detected
F du Plessis,Rising Pune Supergiant,154,IPL,4773.0,3605.0,440.0,174.0,128.0,37.29,132.4,2804.0,58.75,5.87,6.0,16.0,0.0,0.0,0.0,2.0,1.0,16.0,0.0,0.0,0.0,12.0,75.0,3.0,"Experienced Batter, Consistent Batter, Boundary Hitter",Expensive Bowler
G Gambhir,Kolkata Knight Riders,154,IPL,4217.0,3524.0,492.0,59.0,128.0,32.95,119.67,2322.0,55.06,6.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Experienced Batter, Boundary Hitter",Slow Scorer
Rashid Khan,Sunrisers Hyderabad,153,IPL,635.0,432.0,45.0,43.0,46.0,13.8,146.99,438.0,68.98,4.91,3585.0,4390.0,179.0,1257.0,272.0,197.0,597.5,7.35,24.53,20.03,35.06,2270.0,51.71,7.64,"Aggressive Batter, Boundary Hitter, Wicket Taking Bowler",No Major Weakness Detected
DA Miller,Kings XI Punjab,152,IPL,3288.0,2441.0,235.0,152.0,90.0,36.53,134.7,1852.0,56.33,6.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Experienced Batter, Consistent Batter, Boundary Hitter",No Major Weakness Detected
UT Yadav,Kolkata Knight Riders,148,IPL,208.0,211.0,16.0,9.0,20.0,10.4,98.58,118.0,56.73,8.44,3190.0,4442.0,144.0,1186.0,473.0,151.0,531.7,8.35,30.85,22.15,37.18,2798.0,62.99,5.11,"Boundary Hitter, Wicket Taking Bowler",No Major Weakness Detected
SS Iyer,Delhi Daredevils,147,IPL,4233.0,3211.0,354.0,182.0,118.0,35.87,131.83,2508.0,59.25,5.99,6.0,7.0,0.0,4.0,0.0,1.0,1.0,7.0,0.0,0.0,66.67,6.0,85.71,6.0,"Experienced Batter, Consistent Batter, Boundary Hitter, Creates Pressure",No Major Weakness Detected
SR Watson,Royal Challengers Bangalore,145,IPL,3880.0,2892.0,377.0,190.0,124.0,31.29,134.16,2648.0,68.25,5.1,2137.0,2742.0,92.0,803.0,293.0,74.0,356.2,7.7,29.8,23.23,37.58,1616.0,58.94,5.82,"Experienced Batter, Boundary Hitter",No Major Weakness Detected
Sandeep Sharma,Kings XI Punjab,142,IPL,60.0,79.0,4.0,0.0,5.0,12.0,75.95,16.0,26.67,19.75,3295.0,4359.0,151.0,1205.0,412.0,156.0,549.2,7.94,28.87,21.82,36.57,2584.0,59.28,5.8,Wicket Taking Bowler,No Major Weakness Detected
CH Gayle,Royal Challengers Bangalore,141,IPL,4997.0,3516.0,408.0,359.0,125.0,39.98,142.12,3786.0,75.77,4.58,584.0,755.0,18.0,180.0,49.0,27.0,97.3,7.76,41.94,32.44,30.82,358.0,47.42,7.68,"Experienced Batter, Consistent Batter, Boundary Hitter",No Major Weakness Detected
GJ Maxwell,Kings XI Punjab,141,IPL,2820.0,1896.0,238.0,161.0,114.0,24.74,148.73,1918.0,68.01,4.75,1047.0,1422.0,41.0,328.0,79.0,80.0,174.5,8.15,34.68,25.54,31.33,796.0,55.98,6.58,"Aggressive Batter, Boundary Hitter",No Major Weakness Detected
AD Russell,Kolkata Knight Riders,139,IPL,2655.0,1626.0,187.0,223.0,90.0,29.5,163.28,2086.0,78.57,3.97,1885.0,2909.0,123.0,612.0,274.0,130.0,314.2,9.26,23.65,15.33,32.47,1876.0,64.49,4.67,"Aggressive Batter, Boundary Hitter, Wicket Taking Bowler",Expensive Bowler
PA Patel,Mumbai Indians,139,IPL,2848.0,2442.0,365.0,49.0,121.0,23.54,116.63,1754.0,61.59,5.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Boundary Hitter,Slow Scorer
RR Pant,Delhi Daredevils,139,IPL,3879.0,2739.0,351.0,181.0,111.0,34.95,141.62,2490.0,64.19,5.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Experienced Batter, Boundary Hitter",No Major Weakness Detected
JC Buttler,Mumbai Indians,138,IPL,4647.0,3208.0,459.0,211.0,115.0,40.41,144.86,3102.0,66.75,4.79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Experienced Batter, Consistent Batter, Boundary Hitter",No Major Weakness Detected
Ishan Kishan,Gujarat Lions,134,IPL,3600.0,2579.0,348.0,166.0,115.0,31.3,139.59,2388.0,66.33,5.02,1.0,4.0,0.0,0.0,1.0,0.0,0.2,20.0,0.0,0.0,0.0,4.0,100.0,1.0,"Experienced Batter, Boundary Hitter",Expensive Bowler
Shubman Gill,Kolkata Knight Riders,134,IPL,4598.0,3339.0,446.0,152.0,111.0,41.42,137.71,2696.0,58.63,5.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Experienced Batter, Consistent Batter, Boundary Hitter",No Major Weakness Detected
Mohammed Shami,Delhi Daredevils,132,IPL,115.0,116.0,9.0,5.0,19.0,6.05,99.14,66.0,57.39,8.29,3035.0,4302.0,145.0,1166.0,445.0,165.0,505.8,8.51,29.67,20.93,38.42,2770.0,64.39,4.98,"Boundary Hitter, Wicket Taking Bowler",No Major Weakness Detected
Yuvraj Singh,Sunrisers Hyderabad,132,IPL,2754.0,2207.0,218.0,149.0,107.0,25.74,124.78,1766.0,64.12,6.01,882.0,1091.0,36.0,258.0,59.0,41.0,147.0,7.42,30.31,24.5,29.25,482.0,44.18,8.82,Boundary Hitter,No Major Weakness Detected
MA Agarwal,Rising Pune Supergiant,130,IPL,2764.0,2146.0,275.0,100.0,117.0,23.62,128.8,1700.0,61.51,5.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Boundary Hitter,No Major Weakness Detected
N Rana,Mumbai Indians,127,IPL,3078.0,2314.0,288.0,151.0,111.0,27.73,133.02,2058.0,66.86,5.27,223.0,326.0,10.0,65.0,31.0,13.0,37.2,8.76,32.6,22.3,29.15,202.0,61.96,5.07,"Experienced Batter, Boundary Hitter",No Major Weakness Detected
DJ Hooda,Sunrisers Hyderabad,125,IPL,1497.0,1213.0,98.0,62.0,79.0,18.95,123.41,764.0,51.04,7.58,391.0,550.0,10.0,102.0,40.0,23.0,65.2,8.44,55.0,39.1,26.09,298.0,54.18,6.21,Developing Player,No Major Weakness Detected
Mohammed Siraj,Sunrisers Hyderabad,125,IPL,117.0,144.0,11.0,4.0,11.0,10.64,81.25,68.0,58.12,9.6,2834.0,4004.0,128.0,1111.0,400.0,173.0,472.3,8.48,31.28,22.14,39.2,2638.0,65.88,4.95,"Boundary Hitter, Wicket Taking Bowler",No Major Weakness Detected
R Tewatia,Kings XI Punjab,124,IPL,1302.0,994.0,110.0,62.0,53.0,24.57,130.99,812.0,62.37,5.78,866.0,1117.0,32.0,264.0,54.0,61.0,144.3,7.74,34.91,27.06,30.48,582.0,52.1,7.53,Boundary Hitter,No Major Weakness Detected
TA Boult,Kolkata Knight Riders,124,IPL,93.0,90.0,5.0,4.0,9.0,10.33,103.33,44.0,47.31,10.0,2892.0,3994.0,145.0,1135.0,441.0,139.0,482.0,8.29,27.54,19.94,39.25,2598.0,65.05,4.99,Wicket Taking Bowler,No Major Weakness Detected
MP Stoinis,Kings XI Punjab,123,IPL,2242.0,1588.0,181.0,117.0,77.0,29.12,141.18,1426.0,63.6,5.33,975.0,1575.0,46.0,249.0,122.0,80.0,162.5,9.69,34.24,21.2,25.54,968.0,61.46,4.83,Boundary Hitter,Expensive Bowler
HV Patel,Royal Challengers Bangalore,123,IPL,280.0,250.0,18.0,15.0,28.0,10.0,112.0,162.0,57.86,7.58,2654.0,3801.0,151.0,807.0,322.0,149.0,442.3,8.59,25.17,17.58,30.41,2182.0,57.41,5.63,"Boundary Hitter, Wicket Taking Bowler",No Major Weakness Detected
SL Malinga,Mumbai Indians,122,IPL,88.0,103.0,6.0,5.0,11.0,8.0,85.44,54.0,61.36,9.36,2974.0,3486.0,170.0,1144.0,314.0,86.0,495.7,7.03,20.51,17.49,38.47,1772.0,50.83,7.44,"Boundary Hitter, Wicket Taking Bowler",No Major Weakness Detected
MM Sharma,Kings XI Punjab,120,IPL,125.0,140.0,9.0,4.0,17.0,7.35,89.29,60.0,48.0,10.77,2471.0,3537.0,134.0,813.0,342.0,131.0,411.8,8.59,26.4,18.44,32.9,2154.0,60.9,5.22,Wicket Taking Bowler,No Major Weakness Detected
P Kumar,Gujarat Lions,119,IPL,340.0,323.0,22.0,17.0,34.0,10.0,105.26,190.0,55.88,8.28,2637.0,3342.0,90.0,1075.0,338.0,104.0,439.5,7.6,37.13,29.3,40.77,1976.0,59.13,5.97,"Boundary Hitter, Creates Pressure",No Major Weakness Detected
Q de Kock,Royal Challengers Bangalore,118,IPL,3444.0,2618.0,334.0,143.0,108.0,31.89,131.55,2194.0,63.7,5.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Experienced Batter, Boundary Hitter",No Major Weakness Detected
I Sharma,Kings XI Punjab,117,IPL,57.0,71.0,4.0,2.0,6.0,9.5,80.28,28.0,49.12,11.83,2546.0,3465.0,96.0,999.0,391.0,102.0,424.3,8.17,36.09,26.52,39.24,2176.0,62.8,5.16,Developing Player,No Major Weakness Detected
JD Unadkat,Rising Pune Supergiant,116,IPL,201.0,173.0,16.0,7.0,13.0,15.46,116.18,106.0,52.74,7.52,2418.0,3541.0,114.0,757.0,295.0,158.0,403.0,8.79,31.06,21.21,31.31,2128.0,60.1,5.34,Wicket Taking Bowler,No Major Weakness Detected
SN Thakur,Rising Pune Supergiant,114,IPL,349.0,276.0,32.0,13.0,28.0,12.46,126.45,206.0,59.03,6.13,2355.0,3554.0,119.0,735.0,339.0,142.0,392.5,9.05,29.87,19.79,31.21,2208.0,62.13,4.9,"Boundary Hitter, Wicket Taking Bowler",Expensive Bowler
NV Ojha,Sunrisers Hyderabad,113,IPL,1554.0,1360.0,121.0,79.0,72.0,21.58,114.26,958.0,61.65,6.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Boundary Hitter,Slow Scorer
Kuldeep Yadav,Kolkata Knight Riders,111,IPL,210.0,263.0,18.0,3.0,14.0,15.0,79.85,90.0,42.86,12.52,2336.0,3189.0,112.0,684.0,161.0,176.0,389.3,8.19,28.47,20.86,29.28,1700.0,53.31,6.93,Wicket Taking Bowler,No Major Weakness Detected
Mandeep Singh,Royal Challengers Bangalore,111,IPL,1706.0,1418.0,176.0,38.0,80.0,21.32,120.31,932.0,54.63,6.63,12.0,26.0,0.0,1.0,1.0,2.0,2.0,13.0,0.0,0.0,8.33,16.0,61.54,4.0,Developing Player,Expensive Bowler
BB McCullum,Gujarat Lions,109,IPL,2882.0,2272.0,293.0,130.0,102.0,28.25,126.85,1952.0,67.73,5.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Boundary Hitter,No Major Weakness Detected
M Vijay,Chennai Super Kings,106,IPL,2619.0,2208.0,247.0,91.0,93.0,28.16,118.61,1534.0,58.57,6.53,37.0,49.0,0.0,8.0,6.0,0.0,6.2,7.9,0.0,0.0,21.62,24.0,48.98,6.17,Boundary Hitter,Slow Scorer
R Vinay Kumar,Mumbai Indians,104,IPL,310.0,289.0,21.0,9.0,25.0,12.4,107.27,138.0,44.52,9.63,2186.0,3041.0,105.0,763.0,296.0,100.0,364.3,8.35,28.96,20.82,34.9,1784.0,58.66,5.52,Wicket Taking Bowler,No Major Weakness Detected
N Pooran,Kings XI Punjab,104,IPL,2527.0,1629.0,169.0,186.0,80.0,31.59,155.13,1792.0,70.91,4.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Aggressive Batter, Boundary Hitter",No Major Weakness Detected
V Sehwag,Delhi Daredevils,104,IPL,2728.0,1833.0,334.0,106.0,95.0,28.72,148.83,1972.0,72.29,4.17,138.0,236.0,6.0,44.0,19.0,16.0,23.0,10.26,39.33,23.0,31.88,172.0,72.88,3.94,"Aggressive Batter, Boundary Hitter",Expensive Bowler
DL Chahar,Rising Pune Supergiant,103,IPL,142.0,105.0,8.0,9.0,10.0,14.2,135.24,86.0,60.56,6.18,2171.0,2890.0,96.0,871.0,325.0,92.0,361.8,7.99,30.1,22.61,40.12,1852.0,64.08,5.21,"Boundary Hitter, Creates Pressure",No Major Weakness Detected
IK Pathan,Gujarat Lions,103,IPL,1150.0,985.0,88.0,38.0,49.0,23.47,116.75,580.0,50.43,7.82,2113.0,2711.0,80.0,835.0,293.0,82.0,352.2,7.7,33.89,26.41,39.52,1664.0,61.38,5.63,Developing Player,Slow Scorer
SPD Smith,Rising Pune Supergiant,103,IPL,2495.0,1999.0,226.0,60.0,70.0,35.64,124.81,1264.0,50.66,6.99,2.0,5.0,0.0,0.0,1.0,0.0,0.3,16.67,0.0,0.0,0.0,4.0,80.0,2.0,Consistent Batter,Expensive Bowler
K Rabada,Delhi Daredevils,101,IPL,262.0,256.0,21.0,11.0,18.0,14.56,102.34,150.0,57.25,8.0,2395.0,3447.0,151.0,906.0,317.0,158.0,399.2,8.63,22.83,15.86,37.83,2216.0,64.29,5.04,"Boundary Hitter, Wicket Taking Bowler",No Major Weakness Detected
RA Tripathi,Rising Pune Supergiant,100,IPL,2291.0,1707.0,229.0,85.0,85.0,26.95,134.21,1426.0,62.24,5.44,6.0,12.0,0.0,0.0,2.0,0.0,1.0,12.0,0.0,0.0,0.0,8.0,66.67,3.0,Boundary Hitter,Expensive Bowler
Z Khan,Delhi Daredevils,99,IPL,117.0,141.0,11.0,2.0,14.0,8.36,82.98,56.0,47.86,10.85,2276.0,2860.0,102.0,873.0,312.0,64.0,379.3,7.54,28.04,22.31,38.36,1632.0,57.06,6.05,Wicket Taking Bowler,No Major Weakness Detected
MK Tiwary,Rising Pune Supergiant,98,IPL,1695.0,1489.0,156.0,40.0,57.0,29.74,113.83,864.0,50.97,7.6,45.0,83.0,1.0,9.0,2.0,7.0,7.5,11.07,83.0,45.0,20.0,50.0,60.24,5.0,Developing Player,"Slow Scorer, Expensive Bowler"
JH Kallis,Royal Challengers Bangalore,98,IPL,2427.0,2291.0,255.0,44.0,83.0,29.24,105.94,1284.0,52.9,7.66,1799.0,2348.0,65.0,601.0,236.0,58.0,299.8,7.83,36.12,27.68,33.41,1292.0,55.03,6.12,Developing Player,Slow Scorer
R Parag,Rajasthan Royals,97,IPL,1879.0,1359.0,136.0,108.0,71.0,26.46,138.26,1192.0,63.44,5.57,334.0,516.0,9.0,70.0,32.0,25.0,55.7,9.26,57.33,37.11,20.96,278.0,53.88,5.86,Boundary Hitter,Expensive Bowler
Arshdeep Singh,Kings XI Punjab,97,IPL,32.0,49.0,4.0,0.0,6.0,5.33,65.31,16.0,50.0,12.25,2167.0,3166.0,111.0,714.0,339.0,100.0,361.2,8.77,28.52,19.52,32.95,1956.0,61.78,4.94,Wicket Taking Bowler,No Major Weakness Detected
STR Binny,Royal Challengers Bangalore,95,IPL,880.0,700.0,66.0,35.0,43.0,20.47,125.71,474.0,53.86,6.93,611.0,763.0,22.0,199.0,76.0,14.0,101.8,7.5,34.68,27.77,32.57,388.0,50.85,6.79,Developing Player,No Major Weakness Detected
KM Jadhav,Royal Challengers Bangalore,95,IPL,1208.0,1012.0,102.0,40.0,51.0,23.69,119.37,648.0,53.64,7.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Developing Player,Slow Scorer
R Bhatia,Rising Pune Supergiant,95,IPL,342.0,290.0,24.0,13.0,29.0,11.79,117.93,174.0,50.88,7.84,1661.0,2059.0,71.0,436.0,120.0,68.0,276.8,7.44,29.0,23.39,26.25,888.0,43.13,8.84,Developing Player,No Major Weakness Detected
DW Steyn,Royal Challengers Bangalore,95,IPL,167.0,163.0,14.0,3.0,20.0,8.35,102.45,74.0,44.31,9.59,2282.0,2583.0,97.0,1019.0,284.0,55.0,380.3,6.79,26.63,23.53,44.65,1466.0,56.76,6.73,"Economical Bowler, Creates Pressure",No Major Weakness Detected
CV Varun,Kings XI Punjab,94,IPL,31.0,56.0,3.0,0.0,4.0,7.75,55.36,12.0,38.71,18.67,2187.0,2795.0,111.0,773.0,193.0,128.0,364.5,7.67,25.18,19.7,35.35,1540.0,55.1,6.81,Wicket Taking Bowler,No Major Weakness Detected
SO Hetmyer,Royal Challengers Bangalore,94,IPL,1566.0,1110.0,99.0,96.0,56.0,27.96,141.08,972.0,62.07,5.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Boundary Hitter,No Major Weakness Detected
S Badrinath,Chennai Super Kings,94,IPL,1441.0,1245.0,154.0,28.0,46.0,31.33,115.74,784.0,54.41,6.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Developing Player,Slow Scorer
PP Ojha,Deccan Chargers,92,IPL,16.0,45.0,0.0,0.0,9.0,1.78,35.56,0.0,0.0,0.0,1945.0,2399.0,89.0,667.0,146.0,97.0,324.2,7.4,26.96,21.85,34.29,1166.0,48.6,8.0,Developing Player,No Major Weakness Detected
