player,team,matches,format
ZR Jaboneke,Tanzania,8,T20I
Kalhan Challu,Hong Kong,8,T20I
Adnan Ilyas,Oman,8,T20I
Amir Ali,Oman,7,T20I
Muhammad Kaleem,United Arab Emirates,7,T20I
O Sam Arthur,Costa Rica,7,T20I
Sagar Pun,Nepal,7,T20I
SP Gauchan,Nepal,7,T20I
Davion Codner,Cayman Islands,7,T20I
KU Carty,West Indies,7,T20I
C Greenshields,Portugal,7,T20I
Salman Nazar,Canada,7,T20I
Abdullah Jasat,Panama,7,T20I
JC Darji,Tanzania,7,T20I
MJ Scotland,Bermuda,7,T20I
J Ghelzai,Austria,7,T20I
J Masquater,Tanzania,7,T20I
M Raikes,Gibraltar,7,T20I
B Kohler-Cadmore,Germany,7,T20I
Sazzad Hosen,Belgium,7,T20I
T Sangha,Australia,7,T20I
T de Zorzi,South Africa,7,T20I
MP Biddappa,Philippines,7,T20I
T Whiteman,Luxembourg,7,T20I
J Santhanam,Singapore,7,T20I
N Hirani,Kenya,7,T20I
MO Kain,United States of America,7,T20I
RR Joshi,Canada,7,T20I
SDJJ Dima,Mozambique,7,T20I
N Mapunda,Tanzania,7,T20I
TGJ Gruijters,Netherlands,7,T20I
AS Hansra,Canada,7,T20I
RA Thomas,Canada,7,T20I
Raag Kapur,Hong Kong,7,T20I
R Gunasekera,Canada,7,T20I
SS Shukla,Bahrain,7,T20I
NF Kelly,New Zealand,7,T20I
SJ Hughes-Pinan,Spain,7,T20I
Jaikumar Thakur,Croatia,7,T20I
O Duff,Bulgaria,7,T20I
Huzaif Yousuf,Bulgaria,7,T20I
DR Briggs,England,7,T20I
K Modise,Botswana,7,T20I
K Hardat,Suriname,7,T20I
Mohammad Asaduzzaman,Finland,7,T20I
J Trembeath-Moro,Spain,7,T20I
S di Bartolomeo,Italy,7,T20I
PEA Karunarathna,Finland,7,T20I
T Brown,Bahamas,7,T20I
Chamalka Fernando,Romania,7,T20I
DC Delany,Ireland,7,T20I
Simandeep Singh,Hong Kong,7,T20I
D Nanda,Indonesia,7,T20I
Sandeep Nair,Bulgaria,7,T20I
JWN Moses,Botswana,7,T20I
AM Oyede,Nigeria,7,T20I
Arif Hosen,Timor-Leste,7,T20I
Walid Sahibzada,Belgium,7,T20I
Itibarshah Deedar,Austria,7,T20I
W Behr,Germany,7,T20I
Sanjay Kumar Ahir,Panama,7,T20I
Sohel Ebrahim Desai,Panama,7,T20I
HS Baidwan,Canada,7,T20I
S Bangera,Israel,7,T20I
T Muzarabani,Zimbabwe,7,T20I
A Ndlovu,Zimbabwe,7,T20I
KAB Hynam-Nyberg,Samoa,7,T20I
SF Mire,Zimbabwe,7,T20I
Jamshid Nasiri,France,7,T20I
CJ Stamp,Philippines,7,T20I
A Flintoff,England,7,T20I
JP Cabrera,Argentina,7,T20I
TA Dudnath,Suriname,7,T20I
SW Masakadza,Zimbabwe,7,T20I
SNJ O'Keefe,Australia,7,T20I
S Randiv,Sri Lanka,7,T20I
Elan Talker,Israel,7,T20I
NR Welch,Zimbabwe,7,T20I
Santiago Duggan,Argentina,7,T20I
Akash Babu,Qatar,7,T20I
A Mongar,Bhutan,7,T20I
Abdul Majid,Bahrain,7,T20I
W O'Rourke,New Zealand,7,T20I
SB Wagh,Mexico,7,T20I
PP Chawla,India,7,T20I
Imran Farhat,Pakistan,7,T20I
Delroy Leo,St Helena,7,T20I
AK Roger,Ivory Coast,7,T20I
J Grzinic,Croatia,7,T20I
Yair Nagavkar,Israel,7,T20I
Mohmedazim Abbasbhai,Zambia,7,T20I
Mohammad Bhaidu,Zambia,7,T20I
E Ndubudem,Nigeria,7,T20I
PKD Chase,Ireland,7,T20I
JM Kemp,South Africa,7,T20I
Danish Jasnaik,Bahrain,7,T20I
VN Veetil,Qatar,7,T20I
Assad Borham,Qatar,7,T20I
YI Kachhalia,Panama,7,T20I
HG Kuhn,South Africa,7,T20I
AJ Redmond,New Zealand,7,T20I
Habib Ahmadzai,Austria,7,T20I
Naseem Khan,Croatia,7,T20I
Ziaur Rehman,Finland,7,T20I
Rakibul Hasan,Italy,7,T20I
Izatullah Dawlatzai,Germany,7,T20I
Asad Mohammad,Germany,7,T20I
Abdullahi Ismail,Nigeria,7,T20I
RS Morton,West Indies,7,T20I
AY Patel,New Zealand,7,T20I
V Pulibanti,Croatia,7,T20I
RJ Ainsworth,Hungary,7,T20I
Zaheer Ibrahim,Qatar,7,T20I
Kamran Wahid,Hungary,7,T20I
F Campbell,Gambia,7,T20I
K Burrows,Bahamas,7,T20I
Sareer Shah,Luxembourg,7,T20I
Ammar Khalid,Canada,7,T20I
MF Maharoof,Sri Lanka,7,T20I
J Perman,Spain,7,T20I
Khalid Shah,United Arab Emirates,7,T20I
Salman Patel,Zambia,7,T20I
TK Lal,Czech Republic,7,T20I
Abdul Rahman,France,7,T20I
Elias Hasan,Estonia,7,T20I
IGTP Wiguna,Indonesia,7,T20I
Zaman Khan,Pakistan,7,T20I
ML Udawatte,Sri Lanka,7,T20I
Z Hoque,Thailand,7,T20I
Mayank Nagayach,Luxembourg,7,T20I
M Faheem,Thailand,7,T20I
BW Hilfenhaus,Australia,7,T20I
JJ van der Wath,South Africa,7,T20I
M Malle,Mali,7,T20I
V Jayant,Lesotho,7,T20I
P Vekaria,Rwanda,7,T20I
MN van Wyk,South Africa,7,T20I
Abdur Rehman,Pakistan,7,T20I
Neeraj Mishra,Czech Republic,7,T20I
R Baruah,Estonia,7,T20I
Baljit Singh,Italy,7,T20I
M Mosehle,South Africa,7,T20I
PE Kruger,South Africa,7,T20I
D Wabwire,Uganda,7,T20I
TM Odoyo,Kenya,7,T20I
H Kinga,Cameroon,7,T20I
DO Obuya,Kenya,7,T20I
VD Philander,South Africa,7,T20I
BCJ Cutting,ICC World XI,7,T20I
IJL Trott,England,7,T20I
R Athapaththu,Romania,7,T20I
Waqar Ul Hassan,Saudi Arabia,7,T20I
Basir Ahamad,Nepal,7,T20I
MD Dai,Papua New Guinea,7,T20I
B Maphosa,Botswana,7,T20I
AC Voges,Australia,7,T20I
TK Patel,United States of America,7,T20I
Ansar Iqbal,Norway,7,T20I
FDW McCreath,Scotland,7,T20I
S Sharma,Mexico,7,T20I
RR Saun,Costa Rica,7,T20I
Alok Kapali,Bangladesh,7,T20I
Nazimuddin,Bangladesh,7,T20I
Muhammad Saleem,Brazil,7,T20I
D Bishoo,West Indies,7,T20I
FE Carava,Mozambique,7,T20I
IKO Aboagye,Ghana,7,T20I
S Gulecha,Singapore,7,T20I
Ali Sheikh,United States of America,7,T20I
RML Taylor,Scotland,7,T20I
JNK Shannon,Ireland,7,T20I
J Stanigze,Sweden,7,T20I
Luka Woods,Serbia,7,T20I
Omar Hayat,Denmark,7,T20I
Murat Yilmaz,Turkey,7,T20I
R Thapliyal,Belgium,7,T20I
D Foxcroft,New Zealand,7,T20I
CJ Boyce,Australia,7,T20I
AA Banner,Belize,7,T20I
AA Jasani,Tanzania,6,T20I
Mukhtar Ahmed,Pakistan,6,T20I
Adnan Razzaq,Belgium,6,T20I
V Marghashayam,Czech Republic,6,T20I
Muhammet Bicer,Turkey,6,T20I
RD Chahar,India,6,T20I
B Mahesh,Cyprus,6,T20I
R Sekaran,Estonia,6,T20I
Zahid Ali,United Arab Emirates,6,T20I
MR Kumar,United Arab Emirates,6,T20I
Irfan Ahmed,Hong Kong,6,T20I
SP Khakurel,Nepal,6,T20I
Zulfiqar Babar,Pakistan,6,T20I
J Blades,West Indies,6,T20I
BOP Fernando,Sri Lanka,6,T20I
TAW Patterson,Belize,6,T20I
Shahzaib,Saudi Arabia,6,T20I
Kawsar Khan,Brazil,6,T20I
Rahel Khan,Sweden,6,T20I
Qudratullah Mir Afzail,Sweden,6,T20I
Lemar Momand,Sweden,6,T20I
L Maphane,Botswana,6,T20I
B Vakatini,Cook Islands,6,T20I
JN Mohammed,West Indies,6,T20I
R Galgalikar,Mexico,6,T20I
FFJ Heo,Indonesia,6,T20I
PRP Boissevain,Netherlands,6,T20I
CD de Lange,Scotland,6,T20I
S Navaratne,Japan,6,T20I
JK Kamande,Kenya,6,T20I
CS Martin,New Zealand,6,T20I
DF Watts,Scotland,6,T20I
GM Hamilton,Scotland,6,T20I
NFI McCallum,Scotland,6,T20I
Rafiulah Alokozai,Belgium,6,T20I
CM McBride,Scotland,6,T20I
Amir Mangal,Germany,6,T20I
Saghir Khan,United Arab Emirates,6,T20I
A Mehmood,Hong Kong,6,T20I
SK Springer,West Indies,6,T20I
G Caisley,Brazil,6,T20I
R Cunningham,Gibraltar,6,T20I
JNT Vare,Papua New Guinea,6,T20I
M Mariyappan,Seychelles,6,T20I
AM Fernando,Sri Lanka,6,T20I
Omair Yousuf,Pakistan,6,T20I
Muhammad Akram,Malaysia,6,T20I
Mirza Ahmed,Kuwait,6,T20I
LR Gaonkar,Panama,6,T20I
V Dhaniram,Cayman Islands,6,T20I
S Bharratt,Suriname,6,T20I
J Perry,Suriname,6,T20I
Rahimgul Naseri,France,6,T20I
C De Freitas,Portugal,6,T20I
Aditya Panwar,Estonia,6,T20I
Mustafa Omer,France,6,T20I
AN Hyobeom,South Korea,6,T20I
DS Smith,West Indies,6,T20I
OE Newey,Guernsey,6,T20I
OJ Herrington,Belgium,6,T20I
PV Naringrekar,Costa Rica,6,T20I
S Samal,Rwanda,6,T20I
T Yotharat,Thailand,6,T20I
RK Kleinveldt,South Africa,6,T20I
V Jagannivasan,Czech Republic,6,T20I
RJ Gleeson,England,6,T20I
Muzahir Raza,Oman,6,T20I
K Lake,Japan,6,T20I
WA Simpson,Singapore,6,T20I
WPUJC Vaas,Sri Lanka,6,T20I
T Zotos,Greece,6,T20I
OJR Groves,Slovenia,6,T20I
A Lazic,Serbia,6,T20I
K Suttisan,Thailand,6,T20I
A Manousis,Greece,6,T20I
AD Algar,Spain,6,T20I
P Nedeljkovic,Serbia,6,T20I
K Nagnama,Ivory Coast,6,T20I
Ayyaz Qureshi,Slovenia,6,T20I
GD Drummond,Scotland,6,T20I
AN Kervezee,Netherlands,6,T20I
PP Ojha,India,6,T20I
Md Shuayeb,Cambodia,6,T20I
MD Garratt,Gibraltar,6,T20I
N Venables,Vanuatu,6,T20I
GPK Wijesingha,Maldives,6,T20I
S Gantulga,Mongolia,6,T20I
A Conteh,Gambia,6,T20I
KA Vimlesh,Romania,6,T20I
BM Wheeler,New Zealand,6,T20I
WK McCallan,Ireland,6,T20I
C Sridev,Singapore,6,T20I
V Nagpaul,Singapore,6,T20I
HK Kukreja,Singapore,6,T20I
A Curavic,Croatia,6,T20I
Syed Rehmatullah,Malaysia,6,T20I
NJ Maddinson,Australia,6,T20I
JQK Moala,Fiji,6,T20I
AA Jangoo,West Indies,6,T20I
P Kotoisuva,Fiji,6,T20I
Shivam Mavi,India,6,T20I
Izhar Hussain,Switzerland,6,T20I
MK Gnanasekaram,Switzerland,6,T20I
M Prasidh Krishna,India,6,T20I
JM Cox,England,6,T20I
D Mullen,Guernsey,6,T20I
B Leo,St Helena,6,T20I
J Yon,St Helena,6,T20I
M Badenhorst,Botswana,6,T20I
C Smith,Isle of Man,6,T20I
A Tripathi,Mexico,6,T20I
L Grace,Cook Islands,6,T20I
Aue Oru,Papua New Guinea,6,T20I
Kaif Jamadar,Finland,6,T20I
Zahidullah Kamal,Finland,6,T20I
Hammadullah Shinwari,Finland,6,T20I
Deng Jinqi,China,6,T20I
Ansh Tandon,United Arab Emirates,6,T20I
Sageer Ahmad,South Korea,6,T20I
AS Broomfield,South Korea,6,T20I
Muhammad Nadeem,South Korea,6,T20I
CV Ranasinghe,South Korea,6,T20I
Q Stephens,Cook Islands,6,T20I
A Modi,Singapore,6,T20I
Ian Roberts,Argentina,6,T20I
Kuldeep Lal,Spain,6,T20I
T Kahamker,Israel,6,T20I
J Essex,St Helena,6,T20I
Rahim Khan,Malaysia,6,T20I
O Davidson,Scotland,6,T20I
LA Collado,Gibraltar,6,T20I
Asif Javed,Bahrain,6,T20I
K Sinclair,West Indies,6,T20I
P Heron,Cayman Islands,6,T20I
Rashid Hashmi,Croatia,6,T20I
AJA Samuels,Cook Islands,6,T20I
T Wuatai,Cook Islands,6,T20I
Tanvir Islam,Bangladesh,6,T20I
C Webster,Isle of Man,6,T20I
L Gharasim,Romania,6,T20I
Kabir Berlia,Singapore,6,T20I
M Musinguzi,Uganda,6,T20I
AA Jimoh,Nigeria,6,T20I
Puneet Arora,Mexico,6,T20I
CJ McKay,Australia,6,T20I
Numan Ahmadzai,Switzerland,6,T20I
Sai Hla Htwe,Myanmar,6,T20I
NL Smith,Italy,6,T20I
J Grassi,Italy,6,T20I
MGSM Fernando,Italy,6,T20I
CD Barnwell,West Indies,6,T20I
E Ochieng,Kenya,6,T20I
VL Mukesh,Seychelles,6,T20I
M de Lange,South Africa,6,T20I
AT Rayudu,India,6,T20I
AAH Bhikari,Suriname,6,T20I
Y Jasti,Mexico,6,T20I
RJG Palmer,Jersey,6,T20I
Jaison Jerome,Malta,6,T20I
Tamoor Sajjad,Qatar,6,T20I
Nouman Sarwar,Qatar,6,T20I
Toqeer Ahmad,Denmark,6,T20I
DR Tawake,Fiji,6,T20I
A Sokovagone,Fiji,6,T20I
E Kuchey,Finland,6,T20I
Vamshi Reddy,Mali,6,T20I
AJ Prajapati,Mali,6,T20I
S Shailesh,Mali,6,T20I
Zhao Tianle,China,6,T20I
Zahid Zadran,Germany,6,T20I
SSB Magala,South Africa,6,T20I
Fakhrul Mohon,Portugal,6,T20I
PK Shoufeer,Cambodia,6,T20I
Sivakumar,Cambodia,6,T20I
M Mwamadi,Malawi,6,T20I
Sikder Billah,Bahrain,6,T20I
S Dhakal,Nepal,6,T20I
Ronald Ebanks,Cayman Islands,6,T20I
K Sonavale,Oman,6,T20I
C Waiswa,Uganda,6,T20I
I Master,Botswana,6,T20I
DI Allan,Kenya,6,T20I
Hassan Khan,Germany,6,T20I
Mamoon Latif,Belgium,6,T20I
Wahidullah Usmani,Belgium,6,T20I
M Akhigbe,Nigeria,6,T20I
Choudry Share Ali,Sweden,6,T20I
JJ Davidson,Scotland,6,T20I
AK Perera,Sri Lanka,6,T20I
RP Meredith,Australia,6,T20I
Fazil Rahman,Malta,6,T20I
Yash Singh,Malta,6,T20I
JO Ngoche,Kenya,6,T20I
TL Best,West Indies,6,T20I
Mominul Haque,Bangladesh,6,T20I
S Tarawally,Sierra Leone,6,T20I
Ehsan Nawaz,Hong Kong,6,T20I
R Theruvath,Qatar,6,T20I
MW Parkinson,England,6,T20I
VT Thiyanesh,Singapore,6,T20I
K Venkatraman,Singapore,6,T20I
K Mendon,Czech Republic,6,T20I
S Vats,Luxembourg,6,T20I
Mohammed Faraazuddin,United Arab Emirates,6,T20I
OJ Webster,Isle of Man,6,T20I
K Klesse,Germany,6,T20I
Shenjian Zheng,China,6,T20I
GM Strydom,Cayman Islands,6,T20I
GJ van Rensburg,Namibia,6,T20I
Ali Nadeem,Canada,6,T20I
Sukhjinder Singh,Canada,6,T20I
R Patten,Bahamas,6,T20I
JS Iggo,Singapore,6,T20I
B Angeltti,Argentina,6,T20I
SPS Shikongo,Namibia,6,T20I
Abraash Khan,Canada,6,T20I
M Ansari,Oman,6,T20I
Saqlain Haider,United Arab Emirates,6,T20I
Fahad Tariq,United Arab Emirates,6,T20I
Imran Yousaf,Saudi Arabia,6,T20I
S Vaz,Portugal,6,T20I
TE Kane,Ireland,5,T20I
S Muthusamy,South Africa,5,T20I
RP Magar,Nepal,5,T20I
OR Willis,Cayman Islands,5,T20I
AK Muslar,Belize,5,T20I
Shuvagata Hom,Bangladesh,5,T20I
S Selvaraj,Tanzania,5,T20I
N M'shangwe,Zimbabwe,5,T20I
Omar Hussain,Lesotho,5,T20I
Shehzad Patel,Swaziland,5,T20I
JJ Wright,Swaziland,5,T20I
D la Cock,Namibia,5,T20I
JJ Chicuele,Mozambique,5,T20I
J Kemp,Jersey,5,T20I
Ahmad Raza,Saudi Arabia,5,T20I
JM Muirhead,Australia,5,T20I
GJ Thompson,Ireland,5,T20I
KJ Young,Belize,5,T20I
SJ Modani,United States of America,5,T20I
TV Valivarthi,Hungary,5,T20I
J Matharu,Canada,5,T20I
SD Parry,England,5,T20I
L Nakomo,Malawi,5,T20I
Raza-ur-Rehman,Canada,5,T20I
Hammad Azam,Pakistan,5,T20I
Awais Zia,Pakistan,5,T20I
B Passoni,Brazil,5,T20I
Ahsan Abbasi,Hong Kong,5,T20I
JJ Tucker,Bermuda,5,T20I
Muhammed Basil,Bahrain,5,T20I
J Gallimore,Bahamas,5,T20I
Kapil Kumar,Philippines,5,T20I
J Ghadiyali,Swaziland,5,T20I
M Leporoporo,Lesotho,5,T20I
DG Brownlie,New Zealand,5,T20I
Aizaz Cheema,Pakistan,5,T20I
AM Ellis,New Zealand,5,T20I
A Kansonkho,Malawi,5,T20I
M Abdulla,Malawi,5,T20I
KJ Patel,Seychelles,5,T20I
Zikria Islam,Oman,5,T20I
YJC Altamirano,Costa Rica,5,T20I
KN Singh,Suriname,5,T20I
A Chaudhary,Singapore,5,T20I
Sukhkaran Sahi,Romania,5,T20I
T Rajiv,Seychelles,5,T20I
GI Gokoel,Suriname,5,T20I
Sapan Mehta,Finland,5,T20I
Muhammad Shoaib Ahmed,Cyprus,5,T20I
Yogev Nagavkar,Israel,5,T20I
Usman Limbada,Canada,5,T20I
A Andrews,Switzerland,5,T20I
Anser Mehmood,Switzerland,5,T20I
P Kerai,Kenya,5,T20I
B Lewis,Belize,5,T20I
DP Hyatt,West Indies,5,T20I
M Jenkinson,Finland,5,T20I
SD Valjalo,Croatia,5,T20I
GA Lamb,Zimbabwe,5,T20I
T Sumiya,Mongolia,5,T20I
D Ebersohn,Mexico,5,T20I
TS Braat,Netherlands,5,T20I
S Chophel,Bhutan,5,T20I
D Svilicic,Croatia,5,T20I
A Awasthi,Croatia,5,T20I
Dane Leo,St Helena,5,T20I
D Young,St Helena,5,T20I
PK Dimitri,Ivory Coast,5,T20I
T Ramautar,Suriname,5,T20I
BJ Watling,New Zealand,5,T20I
CU Jayasinghe,Sri Lanka,5,T20I
JS Foster,England,5,T20I
P Pustoslemsek,Slovenia,5,T20I
RM West,Ireland,5,T20I
Mohsin Zaki,Bahrain,5,T20I
H Upadhyay,Mongolia,5,T20I
Tayyab Tahir,Pakistan,5,T20I
TD Astle,New Zealand,5,T20I
R Mondol,Bangladesh,5,T20I
KB Tember,Indonesia,5,T20I
Shujaat Rasool,Bahrain,5,T20I
Kashif Khan,Singapore,5,T20I
R Brar,Cyprus,5,T20I
M Kyriacou,Cyprus,5,T20I
A Gasteratos,Greece,5,T20I
C Bogdanos,Greece,5,T20I
T Thushara,Sri Lanka,5,T20I
Sathya Narayanan,Switzerland,5,T20I
Awais Ikram,Slovenia,5,T20I
Usama Mir,Pakistan,5,T20I
Abdullah Mohd Yousaf,Bahrain,5,T20I
Mohammed Awais,Qatar,5,T20I
VM Waqavakatoga,Fiji,5,T20I
V Veiqravi,Fiji,5,T20I
Inshaf Farook,Lesotho,5,T20I
Abraar Khan,Lesotho,5,T20I
Mohammed Jamadar,Lesotho,5,T20I
J Suleman,Eswatini,5,T20I
JH Stander,Scotland,5,T20I
DR Flynn,New Zealand,5,T20I
HB Shipley,New Zealand,5,T20I
Naveed Shahid,Finland,5,T20I
JM How,New Zealand,5,T20I
Raqibul Hasan,Bangladesh,5,T20I
J Pakhiaokajee,Thailand,5,T20I
Mustapha Yusuf,Nigeria,5,T20I
Mohammad Amin,Kuwait,5,T20I
J Shields,Cook Islands,5,T20I
H McAleer,Isle of Man,5,T20I
JWW Gardner,Papua New Guinea,5,T20I
W Smith,Namibia,5,T20I
Hamed Khan,Hong Kong,5,T20I
Salman Sharjeel,Malta,5,T20I
Sedik Sahak,Sweden,5,T20I
O Isesele,Nigeria,5,T20I
A Gupta,Norway,5,T20I
SM Davies,England,5,T20I
AK Kitchen,New Zealand,5,T20I
T Vanuarua,Cook Islands,5,T20I
WT Gavera,Papua New Guinea,5,T20I
DJ Hall,Croatia,5,T20I
JR Newton,Croatia,5,T20I
Sarfraz Butt,Saudi Arabia,5,T20I
Zou Kui,China,5,T20I
Anasim Khan,Bahrain,5,T20I
Ammad Uddin,Bahrain,5,T20I
Mohammed Sameer,Bahrain,5,T20I
SE Aquilina,Malta,5,T20I
Aamer Jamal,Pakistan,5,T20I
Abdullah Sheikh,Norway,5,T20I
Zishan Shah,Denmark,5,T20I
Zameer Khan,Denmark,5,T20I
Dipanjan Dey,Sweden,5,T20I
R Gowthaman,Sweden,5,T20I
AJ Michael,Samoa,5,T20I
DP Michael,Samoa,5,T20I
D Dawa,Bhutan,5,T20I
S Matsikenyeri,Zimbabwe,5,T20I
RR Watson,Scotland,5,T20I
PJ Ongondo,Kenya,5,T20I
IW Budiarta,Indonesia,5,T20I
Matiullah Khan,United Arab Emirates,5,T20I
Wasim Al Balushi,Oman,5,T20I
Nawed Al Balushi,Oman,5,T20I
Sameer Othman,Oman,5,T20I
Zubair Al Balushi,Oman,5,T20I
Muzaffar Shiralkar,Oman,5,T20I
JS Henriksen,Denmark,5,T20I
Syed Naqvi,Italy,5,T20I
CM Carroll,Croatia,5,T20I
B Botcha,Mali,5,T20I
Subham Patel,Kenya,5,T20I
Rahat Ali,Czech Republic,5,T20I
D Forrester,South Africa,5,T20I
Zaid Soulat,Bulgaria,5,T20I
Sufyan Naseeb,Eswatini,5,T20I
EM Turay,Sierra Leone,5,T20I
GBK Roland,Ivory Coast,5,T20I
S Ravoka,Fiji,5,T20I
P Cabebula,Fiji,5,T20I
DS Maraiwai,Fiji,5,T20I
S Santhirakumaran,France,5,T20I
JD Baker,Samoa,5,T20I
Lee Kangmin,South Korea,5,T20I
DBL Powell,West Indies,5,T20I
Obed Yosef,Vanuatu,5,T20I
J Reb,Serbia,5,T20I
Haroon Mughal,Malta,5,T20I
Fazil Muhammad,South Korea,5,T20I
W McClintock,Ireland,5,T20I
CJO Smith,Scotland,5,T20I
NS Poonia,Scotland,5,T20I
MT Diaby,Mali,5,T20I
MS Diawara,Mali,5,T20I
JL Smith,England,5,T20I
P Chin,Cayman Islands,5,T20I
Shuaib Al Balushi,Oman,5,T20I
Mohammed Al Balushi,Oman,5,T20I
Muhammed Turkmen,Turkey,5,T20I
Rahman Ademi,Serbia,5,T20I
SS Pathirana,Sri Lanka,5,T20I
S Thakur,Romania,5,T20I
Muhammad Saqib,Saudi Arabia,5,T20I
Mohamed Khan,Sierra Leone,5,T20I
D Polpitiya,Eswatini,5,T20I
Adil Khan,Germany,5,T20I
M Worndl,Czech Republic,5,T20I
Hilal Ahmad,Czech Republic,5,T20I
C Esterhuizen,South Africa,5,T20I
P Jayawickrama,Sri Lanka,5,T20I
ML Bojang,Gambia,5,T20I
Madhawa Basnayaka,Finland,5,T20I
WW Hinds,West Indies,5,T20I
V Hampihallikar,Singapore,5,T20I
Dharmang Patel,Qatar,5,T20I
Rashid Khan,ICC World XI,5,T20I
RA Tripathi,India,5,T20I
Irshad Mubbashar,Saudi Arabia,5,T20I
Mohamed Shiyam,Maldives,5,T20I
Ali Waqar,Czech Republic,5,T20I
S Rossi,Argentina,5,T20I
A Ahmadhel,Bulgaria,5,T20I
KNA Bandara,Sri Lanka,5,T20I
L Ward,Isle of Man,5,T20I
F Clarke,Isle of Man,5,T20I
Muhammad Soban,Hungary,5,T20I
E Walker,Isle of Man,5,T20I
Yousif Wali,Bahrain,5,T20I
Basharat Hussain,South Korea,5,T20I
ASH Parsons,South Korea,5,T20I
W Viraliliu,Vanuatu,5,T20I
Rohan Bhavesh Patel,Bulgaria,5,T20I
NCK Liyanage,Malaysia,5,T20I
J Cama,Fiji,5,T20I
J Danikula,Croatia,5,T20I
SP Fleming,New Zealand,5,T20I
PD Blignaut,Namibia,5,T20I
SL Verma,Uganda,5,T20I
C Hauptfleisch,Cayman Islands,5,T20I
M Bhanuka,Sri Lanka,5,T20I
S Banamali,Singapore,5,T20I
Huang Junjie,China,5,T20I
Faizan Asif,United Arab Emirates,5,T20I
Amjad Ali,United Arab Emirates,5,T20I
BR Dunk,Australia,5,T20I
IG Holland,United States of America,5,T20I
TW Samuels,Belize,5,T20I
J Andrew,West Indies,5,T20I
Ashish Gupta,Indonesia,5,T20I
AM Guruge,United Arab Emirates,5,T20I
R Mupfudza,Zimbabwe,5,T20I
O Muzondo,Zimbabwe,5,T20I
WT Mubayiwa,Zimbabwe,5,T20I
TP Allen,United States of America,5,T20I
Omid Shafi Rahman,United Arab Emirates,5,T20I
MY Bawa,Panama,4,T20I
LHB Harrington-Myers,Cayman Islands,4,T20I
SK Lahiri,Mexico,4,T20I
AAA Patel,Lesotho,4,T20I
Ebadat Hossain,Bangladesh,4,T20I
CJ Gannon,United States of America,4,T20I
Sojib Miah,Czech Republic,4,T20I
Jai Tiwari,Switzerland,4,T20I
G Richardson,Jersey,4,T20I
RV Viraj,Cambodia,4,T20I
FC Muniz,Brazil,4,T20I
J Hurley,Argentina,4,T20I
PL Bruno,Argentina,4,T20I
RM Siri,Argentina,4,T20I
SF Nhavotso,Mozambique,4,T20I
Tanveer Ahmed,Hong Kong,4,T20I
M Fru,Cameroon,4,T20I
Imtiaz Khan,Saudi Arabia,4,T20I
RA Tappin,Bahamas,4,T20I
AR Adams,New Zealand,4,T20I
Lee Hyosin,South Korea,4,T20I
Saurabh Kumar,South Korea,4,T20I
Vimal Kumar,Philippines,4,T20I
Nikhil,Uzbekistan,4,T20I
S Shermatov,Uzbekistan,4,T20I
J West,Gibraltar,4,T20I
JE Scott,Bahamas,4,T20I
Abdul Shakoor (2),Romania,4,T20I
B Ivanov,Bulgaria,4,T20I
NH Ekanayake,Bahamas,4,T20I
A Chaubey,Croatia,4,T20I
V Rathinasamy,Croatia,4,T20I
AJ Strauss,England,4,T20I
D Mauro,Argentina,4,T20I
Hasan Yanar,Turkey,4,T20I
DR Martyn,Australia,4,T20I
Samader Shadab,Greece,4,T20I
Ali Muaaz,Greece,4,T20I
Sinan Khan,Greece,4,T20I
Sajid Khan Afridi,Greece,4,T20I
A Khasanov,Uzbekistan,4,T20I
I Mustafoev,Uzbekistan,4,T20I
Syed Ahzamul Haq,Uzbekistan,4,T20I
A Musaev,Uzbekistan,4,T20I
Saif Ullah,Uzbekistan,4,T20I
Raheel Thakkar,Singapore,4,T20I
M Bhaiji,Hungary,4,T20I
Naim Stanikzai,Switzerland,4,T20I
Raihan Stanikzai,Switzerland,4,T20I
Sahil Tarakhil,Switzerland,4,T20I
Prashant Shukla,Sweden,4,T20I
Asghar Ali Khan,Luxembourg,4,T20I
P Campbell,Gambia,4,T20I
PUKK Arachchige,Finland,4,T20I
Shakeel Zeb,Denmark,4,T20I
E Batkhuyag,Mongolia,4,T20I
Md Shafiqul Haque,Thailand,4,T20I
NJ Astle,New Zealand,4,T20I
C Zhuwao,Zimbabwe,4,T20I
E Hasahya,Uganda,4,T20I
J Dunn,Vanuatu,4,T20I
Samarth Shetty,Sweden,4,T20I
Anowarul Islam,Thailand,4,T20I
R Sheshadri,Singapore,4,T20I
S Natsagdorj,Mongolia,4,T20I
P Taylor,Czech Republic,4,T20I
JDP Albertze,Bermuda,4,T20I
Anmoldeep Singh,Italy,4,T20I
Irfan Sarfraz,Saudi Arabia,4,T20I
RTM Mendis,Sri Lanka,4,T20I
SI Mahmood,England,4,T20I
Zakir Hasan,Bangladesh,4,T20I
Abdur Rahman Sudais,Sweden,4,T20I
JC Martin,Guernsey,4,T20I
C Liebenberg,Isle of Man,4,T20I
VRB Arachchige,Malta,4,T20I
V Khanduri,Cyprus,4,T20I
JH Kiani,Philippines,4,T20I
Ilyas Cetin,Turkey,4,T20I
L Horan,Bermuda,4,T20I
G Irvin,Bahamas,4,T20I
EB Knowles,Czech Republic,4,T20I
