player,runs,balls,fours,sixes,outs,format,average,strike_rate,boundary_runs,boundary_percent,balls_per_boundary
BJ Haddin,404,361,30,13,22,T20I,18.36,111.91,198,49.01,8.4
GF Linde,403,286,27,22,21,T20I,19.19,140.91,240,59.55,5.84
RT Ponting,401,311,42,11,13,T20I,30.85,128.94,234,58.35,5.87
R Dianish,401,375,41,14,20,T20I,20.05,106.93,248,61.85,6.82
Vikramjit Singh,400,362,33,17,27,T20I,14.81,110.5,234,58.5,7.24
J van Heerden,400,339,47,6,9,T20I,44.44,117.99,224,56.0,6.4
HH Gibbs,400,333,45,12,22,T20I,18.18,120.12,252,63.0,5.84
S Desungnoen,399,497,35,11,32,T20I,12.47,80.28,206,51.63,10.8
JK Vifah,396,382,39,9,24,T20I,16.5,103.66,210,53.03,7.96
V Shukla,396,287,35,15,17,T20I,23.29,137.98,230,58.08,5.74
G Gune,396,347,28,18,16,T20I,24.75,114.12,220,55.56,7.54
Anamul Haque,396,353,42,11,16,T20I,24.75,112.18,234,59.09,6.66
CM Carroll,395,208,30,30,4,T20I,98.75,189.9,300,75.95,3.47
Shan Masood,395,341,30,7,13,T20I,30.38,115.84,162,41.01,9.22
BI Dilruksha,392,389,41,13,18,T20I,21.78,100.77,242,61.73,7.2
AN Lascu,391,293,53,15,11,T20I,35.55,133.45,302,77.24,4.31
Usman Khalid,389,354,30,15,18,T20I,21.61,109.89,210,53.98,7.87
Abdul Razzaq,388,341,21,21,17,T20I,22.82,113.78,210,54.12,8.12
Sharjeel Khan,388,299,51,14,17,T20I,22.82,129.77,288,74.23,4.6
Saeed Ahmed,388,317,28,20,21,T20I,18.48,122.4,232,59.79,6.6
HS Gericke,387,259,32,17,15,T20I,25.8,149.42,230,59.43,5.29
R Pathan,387,251,41,17,8,T20I,48.38,154.18,266,68.73,4.33
Muhammad Haziq Aiman,386,263,36,26,17,T20I,22.71,146.77,300,77.72,4.24
V Sehwag,386,274,42,16,15,T20I,25.73,140.88,264,68.39,4.72
Sazib Bhuiyan,385,286,41,18,21,T20I,18.33,134.62,272,70.65,4.85
Md Ariyan,384,275,27,28,13,T20I,29.54,139.64,276,71.88,5.0
G Singh,383,371,28,13,17,T20I,22.53,103.23,190,49.61,9.05
M Simpson-Parker,383,332,29,14,14,T20I,27.36,115.36,200,52.22,7.72
Mohammad Ashraful,382,285,41,11,19,T20I,20.11,134.04,230,60.21,5.48
T Munyonga,382,374,28,9,26,T20I,14.69,102.14,166,43.46,10.11
Sompal Kami,381,352,27,15,32,T20I,11.91,108.24,198,51.97,8.38
Iqbal Hossain,381,233,33,30,14,T20I,27.21,163.52,312,81.89,3.7
D Ajekun,379,534,32,2,30,T20I,12.63,70.97,140,36.94,15.71
D Heyliger,379,236,24,26,14,T20I,27.07,160.59,252,66.49,4.72
J Coetzee,378,361,24,14,16,T20I,23.62,104.71,180,47.62,9.5
Surya Anand,378,364,14,13,14,T20I,27.0,103.85,134,35.45,13.48
