bowler,balls,runs_conceded,wickets,dot_balls,fours_conceded,sixes_conceded,format,overs,economy,bowling_average,bowling_strike_rate,dot_ball_percent,boundary_runs_conceded,boundary_percent_conceded,balls_per_boundary
TM Head,64,121,3,10,7,8,IPL,10.7,11.31,40.33,21.33,15.62,76,62.81,4.27
JA Richardson,94,162,3,30,12,10,IPL,15.7,10.32,54.0,31.33,31.91,108,66.67,4.27
K Santokie,51,91,3,15,6,6,IPL,8.5,10.71,30.33,17.0,29.41,60,65.93,4.25
Abhinandan Singh,60,122,3,15,13,7,IPL,10.0,12.2,40.67,20.0,25.0,94,77.05,3.0
GHS Garton,97,136,3,31,11,6,IPL,16.2,8.4,45.33,32.33,31.96,80,58.82,5.71
T Shamsi,120,185,3,28,14,8,IPL,20.0,9.25,61.67,40.0,23.33,104,56.22,5.45
Sikandar Raza,88,146,3,21,15,4,IPL,14.7,9.93,48.67,29.33,23.86,84,57.53,4.63
RS Hangargekar,43,60,3,14,6,2,IPL,7.2,8.33,20.0,14.33,32.56,36,60.0,5.38
R Sathish,144,233,3,30,18,10,IPL,24.0,9.71,77.67,48.0,20.83,132,56.65,5.14
SM Harwood,67,74,3,33,6,2,IPL,11.2,6.61,24.67,22.33,49.25,36,48.65,8.38
JM Kemp,47,58,3,15,6,1,IPL,7.8,7.44,19.33,15.67,31.91,30,51.72,6.71
R Ninan,36,65,3,8,3,5,IPL,6.0,10.83,21.67,12.0,22.22,42,64.62,4.5
L Ablish,45,76,3,10,11,1,IPL,7.5,10.13,25.33,15.0,22.22,50,65.79,3.75
P Sahu,107,152,3,24,11,5,IPL,17.8,8.54,50.67,35.67,22.43,74,48.68,6.69
JJ van der Wath,76,134,3,29,17,6,IPL,12.7,10.55,44.67,25.33,38.16,104,77.61,3.3
AL Menaria,113,144,3,40,15,4,IPL,18.8,7.66,48.0,37.67,35.4,84,58.33,5.95
DAJ Bracewell,25,32,3,10,2,2,IPL,4.2,7.62,10.67,8.33,40.0,20,62.5,6.25
RJ Peterson,48,70,3,21,5,5,IPL,8.0,8.75,23.33,16.0,43.75,50,71.43,4.8
Gagandeep Singh,84,142,3,25,14,6,IPL,14.0,10.14,47.33,28.0,29.76,92,64.79,4.2
DJ Thornely,44,40,3,19,5,0,IPL,7.3,5.48,13.33,14.67,43.18,20,50.0,8.8
VR Iyer,84,145,3,15,12,7,IPL,14.0,10.36,48.33,28.0,17.86,90,62.07,4.42
SD Chitnis,38,62,2,9,4,3,IPL,6.3,9.84,31.0,19.0,23.68,34,54.84,5.43
SM Boland,43,56,2,14,6,1,IPL,7.2,7.78,28.0,21.5,32.56,30,53.57,6.14
PH Solanki,36,39,2,11,1,2,IPL,6.0,6.5,19.5,18.0,30.56,16,41.03,12.0
